#Genome(UCSC version)	Organism(Should match taxids.txt file)	Version(start with 'v' for homer version, other for custom)
hg38	human	v5.9
hg19	human	v5.9
hg18	human	v5.9
hg17	human	v5.9
panTro5	human	v5.9
panTro4	human	v5.9
panTro3	human	v5.9
papAnu2	human	v5.9
panPan1	human	v5.9
gorGor5	human	v5.9
gorGor4	human	v5.9
gorGor3	human	v5.9
rheMac8	rhesus	v5.9
rheMac3	rhesus	v5.9
rheMac2	rhesus	v5.9
mm10	mouse	v5.9
mm9	mouse	v5.9
mm8	mouse	v5.9
rn6	rat	v5.9
rn5	rat	v5.9
rn4	rat	v5.9
susScr3	pig	v5.9
canFam3	dog	v5.9
galGal4	chicken	v5.9
taeGut2	zebrafinch	v5.9
xenTro3	frog	v5.9
xenTro2	frog	v5.9
danRer10	zebrafish	v5.9
danRer7	zebrafish	v5.9
tetNig2	fugu	v5.9
fr3	fugu	v5.9
petMar2	lamprey	v5.9
ci2	ciona	v5.9
strPur2	urchin	v5.9
dm6	fly	v5.9
dm3	fly	v5.9
anoGam1	mosquito	v5.9
apiMel2	bee	v5.9
ce11	worm	v5.9
ce10	worm	v5.9
ce6	worm	v5.9
sacCer3	yeast	v5.9
sacCer2	yeast	v5.9
aplCal1	seahare	v5.9
